;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
20683;1;1;1.0;1.0;10836.88;2.0;3.0;74.16;75+       ;75+       ;28;3;1.0;1591933.63
20684;1;1;1.0;1.0;12879.45;2.0;4.0;60.24;75+       ;75+       ;47;0;1.0;1591933.63
20685;1;1;1.0;1.0;14549.75;2.0;4.0;57.8;75+       ;75+       ;3;0;1.0;1591933.63
20686;1;1;1.0;1.0;2560.06;1.0;4.0;61.37;75+       ;75+       ;12;0;1.0;1591933.63
20687;1;1;1.0;1.0;7322.69;2.0;1.0;100.0;75+       ;75+       ;29;1;1.0;1591933.63
20688;1;1;1.0;1.0;2078.47;1.0;4.0;60.27;75+       ;75+       ;29;0;1.0;1591933.63
20689;1;1;1.0;1.0;18563.18;1.0;4.0;61.85;75+       ;75+       ;10;0;1.0;1591933.63
20690;1;1;1.0;1.0;8846.82;1.0;3.0;70.6;90-95     ;75+       ;27;0;1.0;1591933.63
20691;1;1;1.0;1.0;1929.81;2.0;4.0;54.34;75+       ;75+       ;9;0;1.0;1591933.63
20692;1;1;1.0;1.0;3437.61;2.0;3.0;65.94;75+       ;75+       ;13;0;1.0;1591933.63
20693;1;1;1.0;1.0;12038.33;1.0;2.0;84.1;90-95     ;75+       ;30;1;1.0;1591933.63
20694;1;1;1.0;1.0;5553.86;2.0;1.0;100.0;75+       ;75+       ;30;3;1.0;1591933.63
20695;1;1;1.0;1.0;2353.61;2.0;3.0;73.81;90-95     ;75+       ;7;0;1.0;1591933.63
20696;1;1;1.0;1.0;1885.77;2.0;4.0;54.42;75+       ;75+       ;42;4;1.0;1591933.63
20697;1;1;1.0;1.0;2727.36;2.0;9.0;18.89;75+       ;75+       ;53;11;1.0;1591933.63
20698;1;1;1.0;1.0;4204.84;2.0;1.0;100.0;75+       ;75+       ;18;2;1.0;1591933.63
20699;1;1;1.0;1.0;29140.0;1.0;4.0;61.33;75+       ;75+       ;83;0;1.0;1591933.63
20700;1;1;1.0;1.0;2642.45;1.0;3.0;71.78;75+       ;75+       ;7;0;1.0;1591933.63
20701;1;1;1.0;1.0;333.77;1.0;3.0;63.61;75+       ;75+       ;5;1;1.0;1591933.63
20702;1;1;1.0;1.0;4343.58;2.0;4.0;49.78;75+       ;75+       ;7;0;1.0;1591933.63
20703;1;1;1.0;1.0;918.79;1.0;1.0;100.0;75+       ;75+       ;9;0;1.0;1591933.63
20704;1;1;1.0;1.0;1130.99;1.0;4.0;62.15;75+       ;75+       ;5;0;1.0;1591933.63
20705;1;1;1.0;1.0;5393.82;1.0;3.0;70.13;75+       ;75+       ;5;0;1.0;1591933.63
20706;1;1;1.0;1.0;4719.93;1.0;5.0;46.75;75+       ;75+       ;9;0;1.0;1591933.63
20707;1;1;1.0;1.0;5943.18;1.0;2.0;83.05;75+       ;75+       ;5;0;1.0;1591933.63
20708;1;1;1.0;1.0;1425.66;2.0;3.0;75.78;75+       ;75+       ;3;0;1.0;1591933.63
20709;1;1;1.0;1.0;313098.67;1.0;4.0;49.39;75+       ;75+       ;4;0;1.0;1591933.63
20710;1;1;1.0;1.0;6176.58;2.0;4.0;59.5;75+       ;75+       ;29;0;1.0;1591933.63
20711;1;1;1.0;1.0;1963.79;1.0;4.0;51.14;90-95     ;75+       ;11;0;1.0;1591933.63
20712;1;1;1.0;1.0;8941.36;2.0;1.0;100.0;75+       ;75+       ;33;12;1.0;1591933.63
20713;1;1;1.0;1.0;10659.62;2.0;4.0;57.44;75+       ;75+       ;13;2;1.0;1591933.63
20714;1;1;1.0;1.0;4909.1;2.0;2.0;85.07;75+       ;75+       ;39;2;1.0;1591933.63
20715;1;1;1.0;1.0;7571.88;1.0;4.0;61.87;75+       ;75+       ;12;1;1.0;1591933.63
20716;1;1;1.0;1.0;4089.66;1.0;2.0;99.06;75+       ;75+       ;1;1;1.0;1591933.63
20717;1;1;1.0;1.0;2309.03;1.0;3.0;74.29;75+       ;75+       ;7;0;1.0;1591933.63
20718;1;1;1.0;1.0;1270.96;2.0;3.0;65.92;75+       ;75+       ;7;1;1.0;1591933.63
20719;1;1;1.0;1.0;3682.0;1.0;3.0;79.28;75+       ;75+       ;27;2;1.0;1591933.63
20720;1;1;1.0;1.0;3059.23;2.0;3.0;72.61;75+       ;75+       ;27;4;1.0;1591933.63
20721;1;1;1.0;1.0;15489.87;2.0;2.0;82.55;75+       ;75+       ;25;5;1.0;1591933.63
20722;1;1;1.0;1.0;2785.91;2.0;3.0;70.38;75+       ;75+       ;3;2;1.0;1591933.63
20723;1;1;1.0;1.0;401.89;1.0;4.0;56.5;75+       ;75+       ;15;0;1.0;1591933.63
20724;1;1;1.0;1.0;3962.42;1.0;4.0;57.44;75+       ;75+       ;5;1;1.0;1591933.63
20725;1;1;1.0;1.0;2605.55;1.0;3.0;72.24;75+       ;75+       ;17;7;1.0;1591933.63
20726;1;1;1.0;1.0;4690.58;2.0;4.0;51.65;75+       ;75+       ;10;6;1.0;1591933.63
20727;1;1;1.0;1.0;1400.41;1.0;3.0;70.81;75+       ;75+       ;27;0;1.0;1591933.63
20728;1;1;1.0;1.0;2112.95;2.0;3.0;69.01;75+       ;75+       ;18;0;1.0;1591933.63
20729;1;1;1.0;1.0;9083.46;2.0;2.0;98.09;75+       ;75+       ;34;6;1.0;1591933.63
20730;1;1;1.0;1.0;6968.28;1.0;3.0;79.29;75+       ;75+       ;49;1;1.0;1591933.63
20731;1;1;1.0;1.0;35653.22;1.0;3.0;74.81;75+       ;75+       ;4;1;1.0;1591933.63
20732;1;1;1.0;1.0;468.88;1.0;3.0;68.63;75+       ;75+       ;5;0;1.0;1591933.63
20733;1;1;1.0;1.0;4862.43;1.0;4.0;50.07;75+       ;75+       ;2;0;1.0;1591933.63
20734;1;1;1.0;1.0;3670.5;2.0;5.0;46.69;90-95     ;75+       ;2;0;1.0;1591933.63
20735;1;1;1.0;1.0;771.21;1.0;5.0;47.19;75+       ;75+       ;4;1;1.0;1591933.63
20736;1;1;1.0;1.0;10594.17;1.0;5.0;48.59;75+       ;75+       ;39;0;1.0;1591933.63
20737;1;1;1.0;1.0;4941.87;2.0;2.0;98.71;75+       ;75+       ;137;1;1.0;1591933.63
20738;1;1;1.0;1.0;7393.58;1.0;1.0;100.0;75+       ;75+       ;8;3;1.0;1591933.63
20739;1;1;1.0;1.0;1209.29;1.0;1.0;100.0;75+       ;75+       ;19;6;1.0;1591933.63
20740;1;1;1.0;1.0;16351.76;2.0;4.0;58.14;75+       ;75+       ;7;1;1.0;1591933.63
20741;1;1;1.0;1.0;8385.51;2.0;3.0;70.4;90-95     ;75+       ;51;1;1.0;1591933.63
20742;1;1;1.0;1.0;22028.53;1.0;3.0;67.05;75+       ;75+       ;8;0;1.0;1591933.63
20743;1;1;1.0;1.0;7381.52;1.0;4.0;54.84;75+       ;75+       ;7;3;1.0;1591933.63
20744;1;1;1.0;1.0;9573.7;1.0;4.0;61.14;75+       ;75+       ;32;5;1.0;1591933.63
20745;1;1;1.0;1.0;8367.35;1.0;4.0;60.53;75+       ;75+       ;4;2;1.0;1591933.63
20746;1;1;1.0;1.0;211727.15;1.0;5.0;48.22;75+       ;75+       ;4;0;1.0;1591933.63
20747;1;1;1.0;1.0;3222.9;1.0;4.0;52.54;75+       ;75+       ;17;0;1.0;1591933.63
20748;1;1;1.0;1.0;5483.64;1.0;4.0;59.69;75+       ;75+       ;30;0;1.0;1591933.63
20749;1;1;1.0;1.0;614.73;2.0;3.0;64.5;75+       ;75+       ;7;0;1.0;1591933.63
20750;1;1;1.0;1.0;956.88;2.0;3.0;70.27;75+       ;75+       ;6;1;1.0;1591933.63
20751;1;1;1.0;1.0;1637.29;1.0;5.0;47.88;75+       ;75+       ;9;1;1.0;1591933.63
20752;1;1;1.0;1.0;1584.6;1.0;3.0;63.82;75+       ;75+       ;5;2;1.0;1591933.63
20753;1;1;1.0;1.0;12427.33;1.0;3.0;71.23;75+       ;75+       ;4;0;1.0;1591933.63
20754;1;1;1.0;1.0;484.89;2.0;3.0;69.85;75+       ;75+       ;30;1;1.0;1591933.63
20755;1;1;1.0;1.0;3752.8;2.0;2.0;93.22;75+       ;75+       ;14;1;1.0;1591933.63
20756;1;1;1.0;1.0;5464.04;2.0;5.0;48.03;75+       ;75+       ;4;0;1.0;1591933.63
20757;1;1;1.0;1.0;4710.41;1.0;4.0;61.84;75+       ;75+       ;6;1;1.0;1591933.63
20758;1;1;1.0;1.0;16501.49;1.0;2.0;88.23;75+       ;75+       ;43;0;1.0;1591933.63
20759;1;1;1.0;1.0;17038.97;2.0;3.0;73.18;75+       ;75+       ;46;1;1.0;1591933.63
20760;1;1;1.0;1.0;2326.0;1.0;4.0;58.08;90-95     ;75+       ;21;5;1.0;1591933.63
20761;1;1;1.0;1.0;906.19;2.0;4.0;55.92;75+       ;75+       ;14;2;1.0;1591933.63
20762;1;1;1.0;1.0;37820.28;1.0;4.0;61.28;75+       ;75+       ;5;2;1.0;1591933.63
