;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
13570;1;1;1.0;1.0;2333.26;2.0;2.0;95.81999969482422;75+       ;75+       ;14;0;1.0;
13571;1;1;1.0;1.0;3026.2;1.0;4.0;62.209999084472656;75+       ;75+       ;26;5;1.0;
13572;1;1;1.0;1.0;1592.27;2.0;4.0;57.630001068115234;75+       ;75+       ;2;0;1.0;
13573;1;1;1.0;1.0;6202.4;2.0;4.0;53.900001525878906;75+       ;75+       ;1;0;1.0;
13574;1;1;1.0;1.0;2764.49;1.0;2.0;87.16999816894531;75+       ;75+       ;6;0;1.0;
13575;1;1;1.0;1.0;6047.9;1.0;2.0;99.12000274658203;75+       ;75+       ;72;10;1.0;
13576;1;1;1.0;1.0;4122.86;2.0;2.0;92.23999786376953;75+       ;75+       ;3;5;1.0;
13577;1;1;1.0;1.0;9331.78;2.0;3.0;76.13999938964844;75+       ;75+       ;80;4;1.0;
13578;1;1;1.0;1.0;6468.3;1.0;2.0;92.69000244140625;75+       ;75+       ;30;4;1.0;
13579;1;1;1.0;1.0;12457.32;2.0;1.0;100.0;75+       ;75+       ;68;0;1.0;
13580;1;1;1.0;1.0;5617.53;1.0;4.0;62.61000061035156;75+       ;75+       ;25;5;1.0;
13581;1;1;1.0;1.0;2488.27;2.0;3.0;65.6500015258789;75+       ;75+       ;2;0;1.0;
13582;1;1;1.0;1.0;1983.68;2.0;4.0;57.599998474121094;75+       ;75+       ;12;0;1.0;
13583;1;1;1.0;1.0;10805.83;1.0;1.0;100.0;75+       ;75+       ;106;3;1.0;
13584;1;1;1.0;1.0;6105.7;2.0;5.0;48.33000183105469;75+       ;75+       ;2;0;1.0;
13585;1;1;1.0;1.0;2073.18;1.0;3.0;63.84000015258789;75+       ;75+       ;6;1;1.0;
13586;1;1;1.0;1.0;2676.91;1.0;3.0;72.3499984741211;75+       ;75+       ;3;2;1.0;
13587;1;1;1.0;1.0;16087.95;2.0;2.0;94.91999816894531;75+       ;75+       ;96;6;1.0;
13588;1;1;1.0;1.0;822.986;2.0;3.0;73.4000015258789;75+       ;75+       ;7;0;1.0;
13589;1;1;1.0;1.0;13961.64;2.0;4.0;58.189998626708984;90-95     ;75+       ;32;2;1.0;
13590;1;1;1.0;1.0;2215.72;2.0;4.0;55.369998931884766;75+       ;75+       ;30;2;1.0;
13591;1;1;1.0;1.0;91809.28;2.0;4.0;56.599998474121094;75+       ;75+       ;3;0;1.0;
13592;1;1;1.0;1.0;71892.3;2.0;4.0;51.470001220703125;75+       ;75+       ;6;0;1.0;
13593;1;1;1.0;1.0;4124.1417;1.0;1.0;100.0;75+       ;75+       ;112;20;1.0;
13594;1;1;1.0;1.0;725.05;2.0;2.0;89.75;75+       ;75+       ;7;1;1.0;
13595;1;1;1.0;1.0;2024.53;2.0;2.0;98.62000274658203;75+       ;75+       ;25;3;1.0;
13596;1;1;1.0;1.0;3384.76;1.0;4.0;53.13999938964844;75+       ;75+       ;4;0;1.0;
13597;1;1;1.0;1.0;56656.96;1.0;2.0;88.0999984741211;75+       ;75+       ;102;18;1.0;
13598;1;1;1.0;1.0;3673.58;2.0;5.0;47.790000915527344;75+       ;75+       ;4;2;1.0;
13599;1;1;1.0;1.0;9504.01;2.0;3.0;77.2699966430664;75+       ;75+       ;15;1;1.0;
13600;1;1;1.0;1.0;2625.09;2.0;3.0;66.51000213623047;75+       ;75+       ;19;1;1.0;
13601;1;1;1.0;1.0;7108.02;1.0;4.0;50.2400016784668;75+       ;75+       ;6;0;1.0;
